United States,Panama,363
United States,Israel,122
United States,Slovakia,1
United States,Haiti,226
United States,Egypt,25
Guyana,United States,17
Guatemala,United States,386
Uganda,United States,2
United States,Indonesia,1
South Korea,United States,683
United States,Bulgaria,2
Guadeloupe,United States,40
Pakistan,United States,9
United States,Burkina Faso,1
Belgium,United States,408
United States,Cayman Islands,251
United States,Portugal,104
United States,Kyrgyzstan,12
Cuba,United States,243
Russia,United States,152
Denmark,United States,98
United States,Belize,118
Curacao,United States,20
Costa Rica,United States,477
Turkey,United States,75
Iceland,United States,118
Poland,United States,62
United States,Greece,61
United States,Kiribati,18
United States,Martinique,20
United States,Canada,8305
United States,Nigeria,18
Bahrain,United States,30
United States,Pakistan,15
Finland,United States,24
United States,Greenland,2
United States,Norway,36
French Guiana,United States,4
Panama,United States,355
Antigua and Barbuda,United States,123
United States,India,69
Turks and Caicos Islands,United States,136
Hong Kong,United States,252
United States,Mexico,6220
United States,South Africa,15
Malta,United States,1
Ireland,United States,231
United States,Honduras,393
Azerbaijan,United States,1
United States,Poland,61
Luxembourg,United States,91
